ward_id,small_area,weight
10102004,1610035,1.0
10102004,1610021,0.000442286124192
10102004,1610002,0.000823999028291
10102004,1610032,0.109320639996
10102004,1610006,0.884024814626
10102004,1620006,6.7970559993e-07
10102004,1620008,2.33239780078e-06
10102005,1610018,1.0
10102005,1610017,1.0
10102005,1610015,1.0
10102005,1610036,1.0
10102005,1610046,1.0
10102005,1610014,0.999933043216
10102005,1600040,2.17521653068e-07
10102005,1610049,1.0
10102005,1610007,8.06809570361e-05
10102005,1610021,0.999555706748
10102005,1610038,1.0
10102005,1610027,1.0
10102005,1610044,1.0
10102005,1610052,0.999718964889
10102005,1610039,0.999995805874
10102005,1610032,0.890679360004
10102005,1610006,0.0163136997763
10102006,3660023,3.70846088138e-07
10102006,3660007,6.26740654939e-07
10102006,1600024,5.69862233467e-07
10102006,1600031,3.66998809529e-06
10102006,1600088,8.11605287319e-07
10102006,1600087,2.40677435782e-06
10102006,1650094,5.07832755043e-07
10102006,1610003,0.00194337931165
10102006,1610059,0.00196966410076
10102006,1610051,0.0504965731799
10102006,1610037,0.259063217334
10102006,1610004,0.999998756982
10102006,1610031,0.99948735905
10102006,1610002,0.574014415824
10102006,1610050,0.999997523192
10102006,1610011,0.999998882119
10102006,1610006,0.0996580116809
10102006,1610001,0.00148861757638
10102006,1650040,2.85345397067e-06
10103001,1620026,0.285986525304
10103001,1620022,0.000747333487172
10103001,1620067,1.0
10103001,1620055,1.0
10103001,1620052,0.719622411104
10103001,1620072,1.0
10103001,1620031,0.99971106493
10103001,1620078,0.999991630889
10103001,1620077,0.999996716169
10103001,1620012,0.999995298479
10103001,1610001,1.56922890653e-06
10103001,1650010,1.79011561847e-06
10103001,1650078,4.53684293622e-06
10103001,1650011,3.48093680643e-06
10103001,1660296,1.14429500633e-06
10103001,1620005,0.000356462840109
10103001,1620001,0.350548804806
10103001,1620004,0.722458465675
10103001,1660010,7.00387843679e-06
10103001,1640075,1.49144242113e-06
10103002,1620026,0.714013474696
10103002,1620044,1.0
10103002,1620039,1.0
10103002,1620022,0.999252666513
10103002,1620053,1.0
10103002,1620020,1.0
10103002,1620046,1.0
10103002,1620045,1.0
10103002,1620052,0.280377588896
10103002,1620031,0.000288935070476
10103002,1640002,4.6050258171e-08
10103002,1640074,2.11409196365e-06
10103002,1640073,3.24771442149e-06
10103002,1640118,1.11364038019e-05
10103002,1620074,0.00920238212865
10103002,1620007,0.58053576323
10103002,1620001,0.646221572667
10103002,1640075,1.142632925e-06
10103003,1610003,1.70382637747e-06
10103003,1610005,1.67560165033e-06
10103003,1610001,3.96938825559e-07
10103003,1620006,0.0174780023678
10103003,1620002,0.493726112693
10103003,1620008,0.829202889783
10103003,1620074,0.00159713122047
10103003,1620071,0.158496280666
10103003,1620059,0.999814177376
10103003,1620007,0.410112652591
10103003,1620025,0.291465297253
10103003,1620060,0.998518331403
10103003,1620069,0.991688675973
10103003,1620010,0.00335611256016
10103003,1620058,0.992295678896
10103003,1620011,0.00313131729459
10103003,1620014,0.00420122707066
10103003,1620005,0.737253251008
10103003,1620001,0.00322487225487
10103003,1620019,1.0
10103003,1620023,1.0
10103003,1620004,0.277539697123
10103004,1620002,6.94422741271e-05
10103004,1620071,0.83934261697
10103004,1620007,0.00270826634895
10103004,1620025,0.708534702747
10103004,1620060,0.00148166859747
10103004,1620010,0.99664388744
10103004,1620058,0.00289425862117
10103004,1620016,1.0
10103004,1620017,1.0
10103004,1620043,1.0
10103004,1620035,1.0
10103004,1620011,0.996868682705
10103004,1620013,1.0
10103004,1620061,1.0
10103004,1620038,1.0
10103004,1620024,1.0
10103004,1620014,0.995798772929
10103004,1620027,1.0
10103005,1620050,0.321819194942
