precinct,population
MOOIPLAAS,12744.537224106973
THORNHILL CISKEI,6088.442253708385
MOROKA,238353.9428515505
KOMATIPOORT,21544.116120447783
LEEUDORINGSTAD,16386.24279674651
LINGELETHU-WEST,64371.027152986826
UGIE,14068.613081077356
CHALUMNA,11871.791179717851
CAMPBELL,4317.596577130431
ENGCOBO,108883.58752052503
DARLING,15411.303908511529
YEOVILLE,42862.10644985007
NTABANKULU,119993.64472065873
GLEN,1176.651057331404
ALLANRIDGE,19814.760666954062
STILFONTEIN,17725.81986900477
KWANOKUTHULA,20941.094242754993
MFULENI,115794.06066821405
CLANWILLIAM,15531.694667628408
ERASMIA,23107.330537185884
BULTFONTEIN,27814.41164762787
LEEU GAMKA,5388.90415552982
BOTSHABELO,81876.392521963
TINMYNE,46262.527938110434
VENTERSTAD,6256.593130246742
JOZA,34765.42227629656
SOUTHPORT,21714.852919196495
KEI BRIDGE,5609.125184517807
ELUKWATINI,65057.96525435922
BABANANGO,28357.578940536965
EMPANGENI,146027.61281701253
EENDEKUIL,5669.288132032623
FOCHVILLE,47017.05292806234
ONSEEPKANS,4038.935679816084
MOKOPANE,44405.56438915874
BRAKPAN,76299.27644917705
UPINGTON,32597.571848510855
PORT NOLLOTH,7106.250940904015
WESTENBURG,92863.00472650386
HOEDSPRUIT,34861.15645329561
HEKPOORT,3931.785628276567
OLIEVENHOUTBOSCH,97376.34083781567
VERKYKERSKOP,3014.5817724585427
DE RUST,5910.523877462699
GINGINDLOVU,33604.7203250743
TAYLORS HALT,96498.8864646947
BRACKENFELL,50658.21890221646
KANONEILAND,4014.983389901795
HONEYDEW,220839.88836948006
BOLOTWA,17109.18190201003
NIETVERDIEND,1112.4557162395554
MALEBOHO,57255.311035914805
EVATON,210759.8845301168
LINDEN,65808.47879649361
SIMON'S TOWN,13042.987409838795
MOSSEL BAY,10499.409557970575
KHAYELITSHA,154362.25837423833
WELBEKEND,18722.45908471585
UMZIMKHULU,61388.15964165992
THORNHILL,7759.491016666014
RIVIERSONDEREND,7859.359163746684
KWA THEMA,96033.94055748664
JAN KEMPDORP,26864.82697467555
NAPIER,6778.518782258232
PHUMALANGA,16059.563226793933
MKHUZE,17776.71290079288
KANYAMAZANE,51668.00665212374
THABONG,113471.45295454594
MECKLENBURG,131329.320218656
GARIEPDAM,1762.6817355258438
MOKOPONG,545.1854315359691
PADDOCK,13117.301535121009
KWADWESI,54343.32412988471
PHOENIX,204429.97770320924
MAYVILLE-KZN,32836.122245050305
LOATE,105378.23844039484
SEYMOUR,6033.298181967044
WELLINGTON,53615.969935126566
MOFFATVIEW,67016.97788451485
GROOTVLEI,6706.1030254054585
HELPMEKAAR,23466.29014351906
DUDUZA,73762.72862784675
IBISI,48416.066273223245
VAALBANK,53459.14505545858
ROADSIDE,1123.8283294266382
OSIZWENI,147688.13096305227
OCEAN VIEW,40391.80825566125
VILLA NORA,34532.19003993351
NONGOMA,198888.28017932954
KINROSS,15563.08682319189
BEDFORD,10480.176733438211
GLENCOE,18592.41452759531
HERTZOGVILLE,12802.708916043186
KAMESH,70406.44431243227
MOOIFONTEIN,45528.17590273287
NYANGA,202332.39014541102
PARYS,10180.22642210452
STEUNMEKAAR,1212.95900390196
WARDEN,13892.456936663079
MSOBOMVU,41625.882326682346
HILLBROW,137778.40807004165
GONUBIE,24727.29591136788
HIBBERDENE,64183.69798802541
EMATSHENI,30092.077953191914
ALEXANDRA,177764.60243550723
MEYERTON,47354.45432594347
KESTELL,11044.478168188345
CLAREMONT,30900.566843046963
BADPLAAS,11856.83831320827
BOIPATONG,24357.121186972592
BONNIEVALE,13959.42129064053
RIETVLEI,5632.798267410618
DEVON,10716.73044702288
VILLIERS,18153.206000375692
DEWETSDORP,11492.551773937776
MODDER RIVER,15658.263014274311
VRYBURG,32658.433380233724
BRONKHORSTSPRUIT,61002.16975601041
CHARLESTOWN,8294.297122269792
LINDLEY,13566.728779042442
SMITHFIELD,6168.344722338415
WELKOM,66047.25463010713
RAVENSMEAD,61418.47757435759
ROOSSENEKAL,7786.704067713926
KENHARDT,5958.095382871832
VEREENIGING,83720.49468734511
OGIES,42723.84447405994
ELDORADO PARK,73947.0759804627
PORT SHEPSTONE,75574.0447723139
HOWICK,37738.65006340443
TEMBISA SOUTH,112293.3088958211
WITBANK,106958.89741175063
IKAMVELIHLE,43468.98326764983
PORT ST JOHNS,72581.47540411293
MOTETEMA,78056.6647552543
LETHABONG,26354.401790287615
LADISMITH,17393.383885098952
WILLOWMORE,9784.048098354404
MOUNT ROAD,35623.291064060504
STRAND,51599.50538332574
KOPPIES,15928.8347080386
JANE FURSE,58033.189824483554
JEFFREYS BAY,29172.896969490033
MOGWADI,28287.612977767985
HOPEFIELD,8893.822188301889
TSOMO,49579.73125289437
LUTZVILLE,14476.047639804156
GA-RANKUWA,97751.04633217021
LADYBRAND,28547.894036024634
DUNDEE,41285.52007933741
ADELAIDE,13587.572554234417
FRANSCHHOEK,22534.827195199166
NQUTHU,100693.74498020372
MAGALIESBURG,12454.901717869874
COLENSO,12430.742332714553
STEENBERG,61725.62314002964
VOLKSRUST,28373.39913130581
BHISHO,17228.843777914186
FORT BROWN,1148.457303251619
SUNRISE,16375.794715884254
CEZA,30700.243760850382
COLIGNY,31903.44816452564
RITAVI,91987.42389798298
MUTALE,54934.7196035602
SAWOTI,32533.84274481888
FLORIDA,66056.98654014783
CALEDON,27350.97634629742
BOTHAVILLE,50676.27324221389
BERLIN,13417.40184712633
ELANDSKRAAL,18163.94973408423
HARTBEESPOORTDAM,37762.91821626725
NEWARK,14648.484148771135
DYSSELSDORP,14948.61954080988
OTTOSHOOP,7598.758271534315
PELLA,3386.145082802489
MAGUDU,8157.882973308518
EKULINDENI,8667.390659489673
PONGOLA,109204.73539777914
DEBEN,8259.915372650594
ZAMDELA,84211.76396659014
IPELEGENG,36598.865356620976
HARDING,94154.45164915208
HARARE,172475.41700241624
NEW BRIGHTON,96710.7982626479
ZASTRON,17428.960468397734
BATHO,15869.025966623247
VERKEERDEVLEI,3030.234206536893
EXCELSIOR,7215.578828687023
GARSFONTEIN,101378.0039864131
MQANDULI,87447.9304730081
PAARL EAST,83690.43316391531
PEARSTON,5061.702363514908
GREYLINGSTAD,8660.706090732814
SESHEGO,192562.01036354687
ST FAITHS,20731.18620041363
KWAMASHU E,146683.6279004066
DANNHAUSER,72964.24601739008
NGODWANA,7943.060094179903
TUBATSE,92272.5584060812
MASEMOLA,38520.43296276359
LAMBERTSBAAI,7077.8422144215765
MAARTENSHOOP,5395.566390483083
BURGERSFORT,50671.162972105616
DIEPRIVIER,38699.485272730046
HILTON-KZN,10873.295883245317
TEMBA,240227.77665336177
VICTORIA WEST,9882.332880955253
NIEKERKSHOOP,2752.9064802661173
ASHTON,18655.077483757763
PETRUSBURG,10462.268786554778
DELAREYVILLE,25474.314708962895
GEORGE,61714.602845837086
PIET PLESSIS,6003.723268111218
KAGISANONG,86836.34181362193
TSHILWAVHUSIKU,67636.63552581398
RIEBEEK WEST,16125.255718935074
BELHAR,56835.49650889371
